journal,url,publisher,date
HiN - Alexander von Humboldt im Netz,https://shop.verlag.uni-potsdam.de/zeitschriften/hin-alexander-von-humboldt-im-netz/,Universitaetsverlag Potsdam,2021-12-02
Jahresbericht / MenschenRechtsZentrum der Universit<e4>t Potsdam,https://shop.verlag.uni-potsdam.de/zeitschriften/jahresbericht-menschenrechtszentrum-der-universitaet-potsdam/,Universitaetsverlag Potsdam,2021-12-02
Milit<e4>r und Gesellschaft in der Fr<fc>hen Neuzeit,https://shop.verlag.uni-potsdam.de/zeitschriften/militaer-und-gesellschaft-in-der-fruehen-neuzeit/,Universitaetsverlag Potsdam,2021-12-02
MenschenRechtsMagazin,https://shop.verlag.uni-potsdam.de/zeitschriften/menschenrechtsmagazin/,Universitaetsverlag Potsdam,2021-12-02
Pri ha-Pardes,https://shop.verlag.uni-potsdam.de/zeitschriften/pri-ha-pardes/,Universitaetsverlag Potsdam,2021-12-02
PaRDeS,https://shop.verlag.uni-potsdam.de/zeitschriften/pardes/,Universitaetsverlag Potsdam,2021-12-02
Spektrum Patholinguistik,https://shop.verlag.uni-potsdam.de/zeitschriften/spektrum-patholinguistik/,Universitaetsverlag Potsdam,2021-12-02
Journal of Thoracic Disease,https://jtd.amegroups.com,AME Publishing Company,2021-12-02
Translational Cancer Research,https://tcr.amegroups.com/,AME Publishing Company,2021-12-02
Hepatobiliary Surgery and Nutrition,http://hbsn.amegroups.com/,AME Publishing Company,2021-12-02
Quantitative Imaging in Medicine and Surgery,http://qims.amegroups.com/,AME Publishing Company,2021-12-02
Annals of Translational Medicine,https://atm.amegroups.com/,AME Publishing Company,2021-12-02
Annals of Cardiothoracic Surgery,http://www.annalscts.com/,AME Publishing Company,2021-12-02
Translational Lung Cancer Research,https://tlcr.amegroups.com,AME Publishing Company,2021-12-02
Translational Andrology and Urology,https://tau.amegroups.com/,AME Publishing Company,2021-12-02
Gland Surgery,https://gs.amegroups.com/,AME Publishing Company,2021-12-02
Cardiovascular Diagnosis and Therapy,https://cdt.amegroups.com/,AME Publishing Company,2021-12-02
Annals of Palliative Medicine,https://apm.amegroups.com/,AME Publishing Company,2021-12-02
Journal of Gastrointestinal Oncology,https://jgo.amegroups.com/,AME Publishing Company,2021-12-02
Translational Pediatrics,https://tp.amegroups.com/,AME Publishing Company,2021-12-02
Analytical Chemistry,https://www.annualreviews.org/journal/anchem,Annual Reviews,2021-12-02
Animal Biosciences,https://www.annualreviews.org/journal/animal,Annual Reviews,2021-12-02
Anthropology,https://www.annualreviews.org/journal/anthro,Annual Reviews,2021-12-02
Astronomy and Astrophysics,https://www.annualreviews.org/journal/astro,Annual Reviews,2021-12-02
Biochemistry,https://www.annualreviews.org/journal/biochem,Annual Reviews,2021-12-02
Biomedical Data Science,https://www.annualreviews.org/journal/biodatasci,Annual Reviews,2021-12-02
Biomedical Engineering,https://www.annualreviews.org/journal/bioeng,Annual Reviews,2021-12-02
Biophysics,https://www.annualreviews.org/journal/biophys,Annual Reviews,2021-12-02
Cancer Biology,https://www.annualreviews.org/journal/cancerbio,Annual Reviews,2021-12-02
Cell and Developmental Biology,https://www.annualreviews.org/journal/cellbio,Annual Reviews,2021-12-02
Chemical and Biomolecular Engineering,https://www.annualreviews.org/journal/chembioeng,Annual Reviews,2021-12-02
Clinical Psychology,https://www.annualreviews.org/journal/clinpsy,Annual Reviews,2021-12-02
Computer Science,https://www.annualreviews.org/journal/arcompsci,Annual Reviews,2021-12-02
Condensed Matter Physics,https://www.annualreviews.org/journal/conmatphys,Annual Reviews,2021-12-02
"Control, Robotics, and Autonomous Systems",https://www.annualreviews.org/journal/control,Annual Reviews,2021-12-02
Criminology,https://www.annualreviews.org/journal/criminol,Annual Reviews,2021-12-02
Developmental Psychology,https://www.annualreviews.org/journal/devpsych,Annual Reviews,2021-12-02
Earth and Planetary Sciences,https://www.annualreviews.org/journal/earth,Annual Reviews,2021-12-02
"Ecology, Evolution, and Systematics",https://www.annualreviews.org/journal/ecolsys,Annual Reviews,2021-12-02
Economics,https://www.annualreviews.org/journal/economics,Annual Reviews,2021-12-02
Entomology,https://www.annualreviews.org/journal/ento,Annual Reviews,2021-12-02
Environment and Resources,https://www.annualreviews.org/journal/energy,Annual Reviews,2021-12-02
Financial Economics,https://www.annualreviews.org/journal/financial,Annual Reviews,2021-12-02
Fluid Mechanics,https://www.annualreviews.org/journal/fluid,Annual Reviews,2021-12-02
Food Science and Technology,https://www.annualreviews.org/journal/food,Annual Reviews,2021-12-02
Genetics,https://www.annualreviews.org/journal/genet,Annual Reviews,2021-12-02
Genomics and Human Genetics,https://www.annualreviews.org/journal/genom,Annual Reviews,2021-12-02
Immunology,https://www.annualreviews.org/journal/immunol,Annual Reviews,2021-12-02
Law and Social Science,https://www.annualreviews.org/journal/lawsocsci,Annual Reviews,2021-12-02
Linguistics,https://www.annualreviews.org/journal/linguistics,Annual Reviews,2021-12-02
Marine Science,https://www.annualreviews.org/journal/marine,Annual Reviews,2021-12-02
Materials Research,https://www.annualreviews.org/journal/matsci,Annual Reviews,2021-12-02
Medicine,https://www.annualreviews.org/journal/med,Annual Reviews,2021-12-02
Microbiology,https://www.annualreviews.org/journal/micro,Annual Reviews,2021-12-02
Neuroscience,https://www.annualreviews.org/journal/neuro,Annual Reviews,2021-12-02
Nuclear and Particle Science,https://www.annualreviews.org/journal/nucl,Annual Reviews,2021-12-02
Nutrition,https://www.annualreviews.org/journal/nutr,Annual Reviews,2021-12-02
Organizational Psychology and Organizational Behavior,https://www.annualreviews.org/journal/orgpsych,Annual Reviews,2021-12-02
Pathology: Mechanisms of Disease,https://www.annualreviews.org/journal/pathmechdis,Annual Reviews,2021-12-02
Pharmacology and Toxicology,https://www.annualreviews.org/journal/pharmtox,Annual Reviews,2021-12-02
Physical Chemistry,https://www.annualreviews.org/journal/physchem,Annual Reviews,2021-12-02
Physiology,https://www.annualreviews.org/journal/physiol,Annual Reviews,2021-12-02
Phytopathology,https://www.annualreviews.org/journal/phyto,Annual Reviews,2021-12-02
Plant Biology,https://www.annualreviews.org/journal/arplant,Annual Reviews,2021-12-02
Political Science,https://www.annualreviews.org/journal/polisci,Annual Reviews,2021-12-02
Psychology,https://www.annualreviews.org/journal/psych,Annual Reviews,2021-12-02
Public Health,https://www.annualreviews.org/journal/publhealth,Annual Reviews,2021-12-02
Resource Economics,https://www.annualreviews.org/journal/resource,Annual Reviews,2021-12-02
Sociology,https://www.annualreviews.org/journal/soc,Annual Reviews,2021-12-02
Statistics and Its Application,https://www.annualreviews.org/journal/statistics,Annual Reviews,2021-12-02
Virology,https://www.annualreviews.org/journal/virology,Annual Reviews,2021-12-02
Vision Science,https://www.annualreviews.org/journal/vision,Annual Reviews,2021-12-02
Advanced Journal of Agricultural Research,https://internationalscholarsjournals.org//journal/ajta,International Scholars Journals,2021-12-02
Advances in Agriculture and Agricultural Sciences,https://internationalscholarsjournals.org//journal/aaas,International Scholars Journals,2021-12-02
Advances in Aquaculture and Fisheries Management,https://internationalscholarsjournals.org//journal/aiafm,International Scholars Journals,2021-12-02
Advances in Food Science and Technology,https://internationalscholarsjournals.org//journal/afst,International Scholars Journals,2021-12-02
African Journal of Agricultural Economics and Rural Development,https://internationalscholarsjournals.org//journal/ijaerd,International Scholars Journals,2021-12-02
African Journal of Agricultural Marketing,https://internationalscholarsjournals.org//journal/ajam,International Scholars Journals,2021-12-02
African Journal of Agriculture,https://internationalscholarsjournals.org//journal/ajaoas,International Scholars Journals,2021-12-02
African Journal of Agriculture and Food Security,https://internationalscholarsjournals.org//journal/ajafs,International Scholars Journals,2021-12-02
African Journal of Agronomy,https://internationalscholarsjournals.org//journal/aja,International Scholars Journals,2021-12-02
African Journal of Crop Science,https://internationalscholarsjournals.org//journal/ajcr,International Scholars Journals,2021-12-02
African Journal of Dairy Farming and Milk Production,https://internationalscholarsjournals.org//journal/ajdfmp,International Scholars Journals,2021-12-02
African Journal of Fisheries Science,https://internationalscholarsjournals.org//journal/ajfs,International Scholars Journals,2021-12-02
African Journal of Food Science Research,https://internationalscholarsjournals.org//journal/ajfsoa,International Scholars Journals,2021-12-02
African Journal of Pig Farming,https://internationalscholarsjournals.org//journal/ajpf,International Scholars Journals,2021-12-02
African Journal of Plant Breeding,https://internationalscholarsjournals.org//journal/ajpb,International Scholars Journals,2021-12-02
African Journal of Poultry Farming,https://internationalscholarsjournals.org//journal/ahpf,International Scholars Journals,2021-12-02
African Journal of Soil Science,https://internationalscholarsjournals.org//journal/ajss,International Scholars Journals,2021-12-02
African Journal of Wood Science and Forestry,https://internationalscholarsjournals.org//journal/ajwsf,International Scholars Journals,2021-12-02
Frontiers of Agriculture and Food Technology,https://internationalscholarsjournals.org//journal/faft,International Scholars Journals,2021-12-02
Global Journal of Food and Agribusiness Management,https://internationalscholarsjournals.org//journal/asst,International Scholars Journals,2021-12-02
Global Journal of Food and Agricultural Sciences,https://internationalscholarsjournals.org//journal/ijebrds,International Scholars Journals,2021-12-02
